Type,Square,Floor,Metro,Price
1.0,37.49,9,0.0,5335230.0
1.0,38.35,13,0.0,5436522.0
1.0,39.84,11,0.0,5584690.0
1.0,36.74,9,0.0,5232470.0
1.0,37.49,11,0.0,5335230.0
1.0,36.95,12,0.0,5274630.0
2.0,60.96,5,0.0,8344827.0
1.0,36.74,14,0.0,5246509.0
2.0,57.07,13,0.0,7977832.0
1.0,36.95,17,0.0,5274630.0
2.0,56.96,12,0.0,7953242.0
1.0,39.34,5,0.0,5534317.0
3.0,77.66,11,0.0,10451400.0
2.0,57.07,6,0.0,7966589.0
1.0,37.49,11,0.0,5335230.0
1.0,39.84,16,0.0,5584690.0
1.0,37.49,6,0.0,5335230.0
1.0,37.5,13,0.0,5357032.0
1.0,37.49,14,0.0,5335230.0
1.0,38.35,12,0.0,5451300.0
1.0,36.95,8,0.0,5274630.0
1.0,37.5,13,0.0,5473105.0
2.0,56.96,9,0.0,7953242.0
1.0,38.35,13,0.0,5436522.0
1.0,37.24,9,0.0,5287122.0
1.0,36.95,12,0.0,5274630.0
3.0,78.0,12,0.0,10499827.0
1.0,39.34,4,0.0,5534317.0
1.0,37.5,12,0.0,5357032.0
2.0,56.96,15,0.0,7953242.0
1.0,37.24,5,0.0,5287122.0
1.0,39.34,9,0.0,5534317.0
1.0,39.34,14,0.0,5534317.0
1.0,37.5,12,0.0,5357032.0
,61.09,3,0.0,8344827.0
2.0,59.08,9,0.0,8191813.0
1.0,36.95,11,0.0,5274630.0
1.0,37.49,6,0.0,5335230.0
2.0,57.07,15,0.0,7977832.0
1.0,36.95,11,0.0,5274630.0
1.0,36.74,9,0.0,5246509.0
1.0,37.49,14,0.0,5335230.0
1.0,37.5,13,0.0,5357032.0
1.0,39.34,9,0.0,5534317.0
3.0,77.66,9,0.0,10451400.0
1.0,38.35,16,0.0,5436522.0
1.0,37.37,4,0.0,5371441.0
3.0,78.0,8,0.0,10530711.0
2.0,60.51,5,0.0,8317476.0
1.0,40.3,9,0.0,5811630.0
1.0,37.24,13,0.0,5287122.0
1.0,40.29,11,0.0,5654936.0
1.0,36.74,6,0.0,5246509.0
1.0,37.37,10,0.0,5357032.0
3.0,77.66,6,0.0,10451400.0
2.0,60.42,9,0.0,8290367.0
1.0,36.95,8,0.0,5274630.0
1.0,37.24,12,0.0,5287122.0
1.0,37.24,15,0.0,5287122.0
1.0,37.37,7,0.0,5357032.0
1.0,39.34,8,0.0,5534317.0
2.0,61.09,12,0.0,8344827.0
1.0,39.84,13,0.0,5584690.0
1.0,39.34,12,0.0,5534317.0
1.0,37.14,12,0.0,5304298.0
2.0,61.09,6,0.0,8344827.0
1.0,37.14,9,0.0,5304298.0
1.0,39.34,7,0.0,5534317.0
1.0,37.14,15,0.0,5304298.0
2.0,57.07,16,0.0,7977832.0
2.0,60.42,12,0.0,8314287.0
1.0,37.49,15,0.0,5335230.0
2.0,60.09,11,0.0,8291822.0
1.0,37.24,6,0.0,5287122.0
1.0,39.34,15,0.0,5534317.0
1.0,39.84,10,0.0,5584690.0
2.0,57.07,7,0.0,7966589.0
2.0,61.09,11,0.0,8344827.0
1.0,39.84,15,0.0,5584690.0
1.0,36.95,13,0.0,5274630.0
1.0,37.14,6,0.0,5304298.0
1.0,37.5,4,0.0,5357032.0
1.0,38.35,15,0.0,5451300.0
1.0,37.24,15,0.0,5287122.0
,37.37,13,0.0,5357032.0
1.0,39.34,17,0.0,5534317.0
1.0,37.14,11,0.0,5304298.0
2.0,60.09,8,0.0,8291822.0
1.0,39.84,10,0.0,5584690.0
1.0,39.34,11,0.0,5534317.0
1.0,37.5,3,0.0,5357032.0
2.0,60.42,8,0.0,8290367.0
2.0,57.07,6,0.0,7977832.0
1.0,37.49,5,0.0,5335230.0
3.0,78.0,6,0.0,10499827.0
1.0,37.37,7,0.0,5371441.0
1.0,36.95,9,0.0,5274630.0
1.0,39.34,9,0.0,5534317.0
2.0,56.96,14,0.0,7953242.0
1.0,37.14,8,0.0,5304298.0
1.0,39.34,15,0.0,5534317.0
1.0,36.95,12,0.0,5274630.0
1.0,36.74,12,0.0,5239490.0
1.0,37.14,15,0.0,5304298.0
2.0,61.09,8,0.0,8344827.0
1.0,39.34,10,0.0,5534317.0
2.0,60.09,13,0.0,8291822.0
1.0,39.34,12,0.0,5534317.0
2.0,57.07,15,0.0,7966589.0
1.0,39.84,7,0.0,5584690.0
1.0,37.37,8,0.0,5371441.0
1.0,37.14,14,0.0,5304298.0
1.0,37.5,10,0.0,5357032.0
2.0,61.09,3,0.0,8344827.0
1.0,39.34,4,0.0,5534317.0
3.0,78.0,8,0.0,10499827.0
1.0,37.37,5,0.0,5357032.0
1.0,37.37,11,0.0,5357032.0
1.0,38.35,9,0.0,5451300.0
1.0,37.24,10,0.0,5287122.0
2.0,60.96,8,0.0,8344827.0
1.0,39.34,8,0.0,5534317.0
2.0,59.08,13,0.0,8191813.0
1.0,36.74,11,0.0,5239490.0
1.0,39.84,12,0.0,5584690.0
1.0,37.5,7,0.0,5357032.0
2.0,60.09,14,0.0,8291822.0
1.0,47.3,2,1.0,11646253.0
3.0,91.63,10,1.0,22737730.0
2.0,56.53,11,1.0,11683725.0
0.0,29.6,10,0.0,4232815.0
0.0,31.55,12,0.0,4595496.0
2.0,65.85,1,1.0,12458002.0
0.0,29.6,13,0.0,4232815.0
,,13,0.0,
0.0,31.55,15,0.0,4487389.0
0.0,31.55,14,0.0,4509010.0
0.0,29.43,16,0.0,4232815.0
0.0,29.6,15,0.0,4232815.0
0.0,29.43,15,0.0,4232815.0
0.0,29.43,8,0.0,4232815.0
0.0,29.6,11,0.0,4232815.0
0.0,31.55,16,0.0,4454957.0
0.0,29.6,12,0.0,4324435.0
0.0,29.6,15,0.0,4232815.0
0.0,29.43,9,0.0,4232815.0
0.0,29.43,14,0.0,4232815.0
0.0,29.6,9,0.0,4232815.0
0.0,29.6,13,0.0,4232815.0
0.0,31.55,14,0.0,4454957.0
0.0,29.6,11,0.0,4324435.0
0.0,29.6,16,0.0,4232815.0
0.0,29.6,9,0.0,4232815.0
0.0,29.6,12,0.0,4232815.0
0.0,29.6,14,0.0,4232815.0
0.0,29.43,14,0.0,4232815.0
0.0,31.55,16,0.0,4487389.0
0.0,29.6,9,0.0,4232815.0
0.0,29.43,10,0.0,4232815.0
0.0,29.6,13,0.0,4232815.0
0.0,31.55,15,0.0,4509010.0
0.0,29.6,10,0.0,4232815.0
0.0,31.55,17,0.0,4487389.0
0.0,29.43,13,0.0,4232815.0
0.0,29.43,11,0.0,4232815.0
0.0,29.6,15,0.0,4232815.0
0.0,29.6,8,0.0,4232815.0
0.0,31.55,13,0.0,4595496.0
0.0,31.55,8,0.0,4595496.0
0.0,29.43,12,0.0,4232815.0
0.0,29.6,17,0.0,4232815.0
0.0,29.6,17,0.0,4232815.0
0.0,29.6,14,0.0,4324435.0
0.0,31.55,10,0.0,4509010.0
0.0,29.6,12,0.0,4232815.0
0.0,29.43,13,0.0,4232815.0
0.0,29.43,15,0.0,4232815.0
0.0,29.6,12,0.0,4232815.0
0.0,29.6,11,0.0,4232815.0
0.0,29.6,14,0.0,4232815.0
0.0,29.6,13,0.0,4324435.0
0.0,31.55,12,0.0,4454957.0
0.0,29.6,8,0.0,4232815.0
3.0,71.7,14,1.0,13115209.0
,33.9,13,1.0,6156603.0
0.0,23.2,1,1.0,6953420.0
2.0,69.98,6,1.0,18900100.0
3.0,113.08,6,1.0,28993476.0
1.0,40.66,4,1.0,11611200.0
1.0,36.18,7,0.0,5283030.0
1.0,36.18,7,0.0,5283030.0
1.0,37.95,9,0.0,5453135.0
3.0,78.98,11,0.0,10585248.0
1.0,35.61,3,0.0,5187252.0
3.0,78.98,14,0.0,10585248.0
1.0,36.97,2,0.0,5325900.0
2.0,57.12,1,0.0,7850390.0
1.0,38.81,9,0.0,5611908.0
2.0,57.65,3,0.0,7888272.0
1.0,35.61,2,0.0,5187252.0
1.0,36.54,1,0.0,5172388.0
2.0,56.64,2,0.0,7795333.0
2.0,57.65,3,0.0,7888272.0
1.0,36.97,3,0.0,5325900.0
